japanese,kana,english
かねが幸福をもたらすとは限らない。,かね が こうふく を もたらす とは かぎらない。,Money does not always bring happiness.
お金が幸福をもたらすとは限らない。,おかね が こうふく を もたらす とは かぎらない。,Money does not always bring happiness.
アルコールは肝臓に被害をもたらす。,アルコール は かんぞう に ひがい を もたらす。,Alcohol damages the liver.
大きくなる。,おおきく なる。,It is getting bigger.
夏は好きくない。,なつ は こう きく ない。,I don't like summer.
大きくなったね。,おおきく なった ね。,How you've grown!
音を大きくして。,おと を おおきく して。,Turn the volume up.
もっと大きくして。,もっと おおきく して。,Louder.
口を大きく開けて。,くち を おおきく あけて。,Open your mouth wide.
テレビの音大きくして。,テレビ の おと おおきく して。,Turn up the TV.
彼女は声を大きくした。,かのじょ は こえ を おおきく した。,She raised her voice.
音楽の音を大きくして！,おんがく の おと を おおきく して！,Turn up the music!
この家はそう大きくはない。,この いえ は そう おおきく は ない。,This house is not very large.
トムは大きく深呼吸をした。,トム は おおきく しんこきゅう を した。,Tom took a very deep breath.
この部屋はそう大きくはない。,この へや は そう おおきく は ない。,This room is not very large.
日本はカナダほど大きくない。,にっぽん は カナダ ほど おおきく ない。,Japan is not as large as Canada.
大きくなったら王様になりたい。,おおきく なったら おうさま に なりたい。,"When I grow up, I want to be a king."
大きくなったら、何になりたい？,おおきく なったら、なに に なりたい？,What do you want to be when you grow up?
その音はだんだん大きくなった。,その おと は だんだん おおきく なった。,It was getting louder and louder.
この家はあまり大きくないです。,この いえ は あまり おおきく ないです。,This house is not very big.
旅行者の数が近年大きく増加した。,りょこうしゃ の かず が きんねん おおきく ぞうか した。,The number of tourists has increased greatly in recent years.
お名前とご住所をお書きください。,お なまえ と ご じゅうしょ を お かきください。,"Write your name and address, please."
大きくなったら何になりたいですか。,おおきく なったら なに に なりたいです か。,What do you want to be when you grow up?
彼はぐるりとふりかえった。,かれ は ぐるり と ふりかえった。,He turned around.
尋ねるだけの価値がある。,たずねる だけの かち が ある。,I think it's worth asking.
彼はおじを訪ねるつもりだ。,かれ は おじ を たずねる つもり だ。,He intends to visit his uncle.
