Word,Reading,Meaning
社員,しゃいん,"company employee; company stockholders (esp. in legal contexts), members of a corporation"
全員,ぜんいん,"all members (unanimity), all hands, the whole crew, everyone, everybody"
役員,やくいん,"officer, official, executive, staff"
開発,かいはつ,"development, exploitation"
開催,かいさい,"holding a meeting, open an exhibition"
開始,かいし,"start, commencement, beginning, initiation"
開放,かいほう,"open, throw open, liberalization, liberalisation"
公開,こうかい,open to the public
展開,てんかい,development; expansion (opposite of compression)
開幕,かいまく,raising the curtain
再開,さいかい,"reopening, resumption, restarting"
開き,ひらき,"opening, gap; dried and opened fish"
開会,かいかい,opening of a meeting
少し,すこし,"small quantity, little, few, something; little while; short distance"
少なくとも,すくなくとも,at least
少年,しょうねん,"boys, juveniles"
減少,げんしょう,"decrease, reduction, decline"
少数,しょうすう,"minority, few"
少女,"しょうじょ, おとめ","young lady, little girl, virgin, maiden, daughter"
青少年,せいしょうねん,"youth, young person"
多少,たしょう,"more or less, somewhat, a little, some"
少ない,すくない,"few, a little, scarce, insufficient, seldom"
少なからず,すくなからず,"considerably, not a little, in no small numbers"
問う,とう,"to ask, to question, to inquire; to charge (i.e. with a crime), to accuse; to care (about); without regard to (with negative verb)"
問,もん,counter for questions
質問,しつもん,"question, inquiry, enquiry"
訪問,ほうもん,"call, visit"
問題,もんだい,"problem, question"
問い合わせ,といあわせ,"enquiry, inquiry, ENQ, query, interrogation"
喚問,かんもん,summons
疑問,ぎもん,"question, problem, doubt, guess"
顧問,こもん,"adviser, advisor, consultant"
問い,とい,"question, query"
代わり,"かわり, がわり","substitute, deputy, proxy, alternate, relief, compensation, second helping; in place of, as a substitute for"
時代,じだい,"period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece"
代表,だいひょう,"representative, representation, delegation, type, example, model"
現代,げんだい,"nowadays, modern era, modern times, present-day"
世代,せだい,"generation, the world, the age"
近代,きんだい,"present day, modern times"
代理,だいり,"representation, agency, proxy, deputy, agent, attorney, substitute, alternate, acting (principal, etc.)"
交代,こうたい,"alternation, change, relief, relay, shift, substitution (sports, etc.)"
代議,だいぎ,representing others in a conference
代行,だいこう,acting as agent
工場,"こうじょう, こうば","factory, plant, mill, workshop"
工業,こうぎょう,(manufacturing) industry
工事,こうじ,construction work
工作,こうさく,"work, construction, handicraft, maneuvering, manoeuvering"
加工,かこう,"manufacturing, processing, treatment, machining"
工夫,くふう,"scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation)"
人工,じんこう,"artificial, manmade, human work, human skill, artificiality"
工学,こうがく,engineering
商工,しょうこう,commerce and industry
大工,だいく,carpenter
動,どう,"motion, change, confusion"
動き,うごき,"movement, activity, trend, development, change"
運動,うんどう,"motion, exercise"
活動,かつどう,"action, activity"
行動,こうどう,"action, conduct, behaviour, behavior, mobilization, mobilisation"
自動車,じどうしゃ,automobile
動物,どうぶつ,animal
不動産,ふどうさん,real estate
動向,どうこう,"trend, tendency, movement, attitude"
移動,いどう,"removal, migration, movement; mobile (e.g. communications)"
禁止,きんし,"prohibition, inhibition, ban"
停止,ていし,"suspension, interruption, stoppage, ban, standstill, halt, hang-up, deadlock, stalemate, abeyance"
防止,ぼうし,"prevention, check"
中止,ちゅうし,"suspension, stoppage, discontinuance, interruption"
廃止,はいし,"abolition, repeal"
歯止め,はどめ,"brake, skid, pawl; restraint, curtailment, self-imposed limit, check"
受け止める,うけとめる,"to catch, to stop the blow, to react to, to take"
阻止,そし,"obstruction, check, hindrance, prevention, interdiction"
止まる,"とまる, とどまる","to stop, to halt; to remain, to abide, to stay (in the one place); to come to a halt; to be limited to"
差し止め,さしとめ,"prohibition, ban, suspension"
主に,おもに,"mainly, primarily"
喪主,もしゅ,chief mourner
民主,みんしゅ,"democracy, popular sovereignty; democratic"
主義,しゅぎ,"doctrine, rule, principle"
主催,しゅさい,"organization, organisation, sponsorship"
主席,しゅせき,"head, chief; chairman, governor, president; top student, head of the class; top seat, first desk (in orchestra)"
主張,しゅちょう,"claim, request, insistence, assertion, advocacy, emphasis, contention, opinion, tenet"
主婦,しゅふ,"housewife, mistress (of the house), homemaker"
主要,しゅよう,"chief, main, principal, major"
朝鮮民主主義人民共和国,ちょうせんみんしゅしゅぎじんみんきょうわこく,"Democratic People's Republic of Korea (North Korea), DPRK"
課題,かだい,"subject, theme, task, challenge, issue"
問題,もんだい,"problem, question"
話題,わだい,"topic, subject"
題,だい,"title, subject, theme, topic; problem (on a test), question; counter for questions (on a test)"
問題点,もんだいてん,the point at issue
議題,ぎだい,"topic of discussion, agenda"
題材,だいざい,"subject, theme"
社会問題,しゃかいもんだい,social problem
主題,しゅだい,"subject, theme, motif"
宿題,しゅくだい,homework
大切,たいせつ,"important, valuable, worthy of care"
切っ掛け,きっかけ,"chance, start, cue, excuse, motive, impetus, occasion"
一切,いっさい,"all, everything, without exception, the whole, entirely, absolutely"
適切,てきせつ,"pertinent, appropriate, adequate, relevance"
切り,きり,"limits, end, bounds, period, place to leave off, closing sentence, all there is, only, since"
思い切って,おもいきって,"resolutely, boldly, daringly"
切らす,きらす,"to be out of, to run out of, to be short of, to be out of stock"
切る,きる,"to cut (usu. to cut through); to sever (connections, ties); to turn off (i.e. the light); to terminate (i.e. a conversation), to hang up (the phone), to disconnect; to punch (a ticket), to tear off (a stub); to open (something sealed); to start; to set (a limit); to reduce, to decrease, to discount; to shake off (water, etc.), to let drip-dry (or drain); to cross; to do (something noticeable); to turn (a vehicle); to cut (the ball); to shuffle (cards); to trump; (in Go) to isolate (an opponent's stone); (after the -masu stem of a verb) to finish, to complete"
締め切り,しめきり,"closing, cut-off, end, deadline, Closed, No Entrance"
切手,きって,"stamp (postage), merchandise certificate"
意見,いけん,"opinion, view"
意味,いみ,"meaning, significance"
合意,ごうい,"agreement, consent, mutual understanding"
意向,いこう,"intention, idea, inclination"
意思,いし,"intention, purpose"
意識,いしき,"consciousness; awareness, sense; mano-vijnana (mental consciousness, cognizer of sensory information)"
意欲,いよく,"will, desire, ambition"
決意,けつい,"decision, determination"
意外,いがい,"unexpected, surprising"
意義,いぎ,"meaning, significance"
制度,せいど,"system, institution, organization, organisation"
程度,ていど,"degree, amount, grade, standard, of the order of (following a number)"
今度,こんど,"now, this time, next time, another time"
態度,たいど,"attitude, manner, behaviour"
何度,なんど,"how many times?, how often?"
前年度,ぜんねんど,preceding fiscal year
年度,ねんど,"year, fiscal year, school year, term"
一度,"いちど, ひとたび","once, one time, on one occasion; temporarily, for a moment; one degree, one tone, one musical interval"
今年度,こんねんど,this year
二度,にど,"two times, twice; two degrees"
維持,いじ,"maintenance, preservation, improvement"
支持,しじ,"support, maintenance"
気持ち,きもち,"feeling, sensation, mood"
持ち,もち,"hold, charge, keep possession, in charge; wear, durability, life, draw; usage"
持つ,もつ,"to hold, to carry; to possess"
持ち込む,もちこむ,"to lodge, to take something into ..., to bring in"
保持,ほじ,"retention, maintenance, preservation"
持続,じぞく,continuation
持ち味,もちあじ,"inherent flavor, inherent flavour, distinctive characteristic"
金持ち,かねもち,rich man
花,はな,"flower, blossom, bloom, petal; blooming (esp. of cherry blossoms), cherry blossom; ikebana; Japanese playing cards; beauty; (the) best"
花火,はなび,fireworks
花びら,"はなびら, かべん",(flower) petal
花見,はなみ,"cherry blossom viewing, flower viewing"
花園,"はなぞの, かえん",flower garden
花束,はなたば,"bunch of flowers, bouquet"
花粉,かふん,pollen
花嫁,はなよめ,bride
開花,かいか,blooming
火花,ひばな,spark
赤ちゃん,あかちゃん,"baby, infant"
赤字,あかじ,"deficit, (being in or going into) the red; red text, red letters"
赤松,あかまつ,"Japanese red pine (Pinus densiflora), Japanese umbrella pine, tanyosho pine"
赤い,あかい,red; Red (i.e. communist)
真っ赤,まっか,"bright red, deep red, flushed (of face); downright (e.g. lie), complete, utter"
赤ん坊,あかんぼう,baby
赤軍,せきぐん,Red Army
赤外線,せきがいせん,infra-red rays
赤道,せきどう,equator
赤旗,あかはた,red flag; Red Flag (Communist Party newspaper)
青,あお,"blue; green; green light; black (horse coat color); immature, unripe, young"
青年,せいねん,"youth, young man"
青山,せいざん,"blue or green mountain; grave, burial place"
青木,"あおき, アオキ","Japanese laurel, spotted laurel, Aucuba japonica; live tree"
青春,せいしゅん,"youth, springtime of life, adolescent"
